10,Drew Gibson
9,Jon Wood
3,SWeko
1,Lucas Willett
10,Dmitry44
15,Frothy
16,Halley
1,Kalyan Raju
1,Stefanos Kalantzis
0,flappit
5,mastupristi
1,TylerJames
1,Jeff of Brooklyn
3,solenskiner
0,Unless
9,Zsolt Szikora
10,Reydon Ace
4,Bear of the Year
2,Anthrax00
0,Mas Ugn
118,MagicBox
6,Christian Ullenboom
60,BikeCurious
1,Victor Konshin
1,lee O.
10,yakunins
0,fgantt
3,Nan T
3,Metz
10,Dan Novak
10,whacko__Cracko
1,Carlosfocker
10,Cirday
3,Leimi
3,Pillis
2,Carles Company
14,Laxman
25,n0s
1,anticafe
95,John Dagg
-2,Mohammad Makahleh
4,brodie
0,Spacehamster
1,user40504
45,Zhami
4,yoitsfrancis
3,Anwar Chandra
1,prairiehat
0,mjbjr77
3,Tonderum Conundrum
2,aeruL
0,fie
1,Andreas G.
6,Tony Clark
68,livefree75
2,Carlo Alberto Degli Atti
0,Brite Roy
1,user477161
2,cjlittle
14,Kahu
7,kingzing1
0,JohnnyLongPants
1,Mr.Expert
4,Tomas Babic
17,dRef90
6,D__
1,Paul Brauner
4,user266982
2,Randy6T9
0,Six fourty
1,Spux
3,sbook
2,Dave O.
1,Carter Cole
3,snk
2,writes_on
23,bizzz
11,Gyom
3,Obfuskater
1,dmossakowski
7,Robert Audi
1,tgrk
7,marcio
5,user41767
2,chrisghardwick
10,Kredns
2,John Ewing
4,kinghajj
6,n00b
1,Doug Houck
2,jrdn
0,eliezer
2,Peter Lapisu
1,Jeff Vig
0,Kvad
0,shanmuga
1,jiai
0,user442692
1,GSchv
2,Stellios
2,user382523
1,Xeon43
7,digz6666
1,Denis Souza
4,Daniel Upton
1,themban
2,barrozz
2,Blanc
2,chris12892
4,sm2
2,Burkhard Exner
2,Pimp-o-matic
0,ignatalexeyenko
1,dfddf
0,hudsonmendes
0,username2
1,caltrop
10,Gaith
1,Shai Wininger
0,Irina C
0,muenalan
2,ungood
7,Jonhnny Weslley
3,Gary Mueller
3,Berserk
4,toddoon
1,Ken Henderson
3,seejay
7,Johan Kullbom
1,JLarky
0,Kevin Jaques
0,liven
1,Lifeguard
0,Gabe Rosser
0,user551728
1,Hakeem
6,Mickaël Rémond
1,Mahya
0,Brandon Emrich
7,romrom
4,Russell Jones
1,user448773
4,bigjeff
1,Danny Cantrell
9,Dan Fare
-6,Chris Shelley
2,Ceejay
3,Jonathan Tizard
1,pythonologist
1,Samir Sabri
6,Ian Fiske
0,ted776
2,jjmartres
4,mikehatfield
17,y_nk
1,Gotjosh
1,Mark Norgate
35,onecreativenerd
0,Andreas H
2,a.tamaz
31,Chris Stucchio
3,ashgromnies
1,tibin mathew
2,steadfastbuck
3,Erich Musick
4,Hons
0,Mesfin
2,Mark Knudson
8,kixx
11,Charles Faiga
8,Mikle
93,Dorky Engineer
1,Kelvin Meeks
5,Rashlien
5,iscavengers
3,H. Jensen
1,ricick
2,Kyle Banerjee
1,tetaslap
1,AlastairG
5,layne obserdia
1,David He
1,ConfusedWithJava
0,kaotix
16,Srinivas Banda
1,sollek
5,NewlessClubie
2,Claude Vedovini
-4,Tyler Wright
0,user372880
0,GGL
0,testalways
6,bmaupin
-2,stao
0,Zbigniew Kawalec
2,roneden
2,ThaKidd KG5ORD
0,Anish Dutta
0,Trent Acid
5,bobah
0,Fabian Ramos
36,Alberto González Palomo
5,BigFwoosh
3,Sinix
2,GUESSWHOz
0,Abdurrahman Gemei
0,Shreekara
1,Nolo
1,Dotnet Coder
1,energyblogwalter
0,user237163
2,spas
0,user48864
4,Dustin Brooks
3,Mark Cox
1,Monkey
2,user98773
4,Armandas
3,Chris McKee
1,user64282
2,Vitalik
2,Jens Alfke
23,Soichi Hayashi
0,Dilawar
4,user504424
0,Ricky Cook
0,erucolindo
4,drsim
5,amiekuser
2,msedi
1,Natasha Illyasviel
3,Popular
5,Broonix
2,b-lieve
0,Ade Lack
-2,life
2,Manuel Salvadores
1,Ineu
5,Benjamin Brauer
0,drewster
5,Leonardo Alt
3,Mato
3,Charles Maresh
3,Pete Sampras
2,dunelmtech
0,jmacboy
0,user327045
1,Iven
7,sepho
3,Abhiram
33,user271807
-2,Mandrig
2,jrallison
4,stevebot
6,Kyle Lutz
3,DoctorLouie
0,Paul Whitrow
6,Andreas Hornig
4,twig
0,M2M
1,Horus
3,jonasespelita
1,ang mo
2,migsho
148,HankH
2,GeoXYZ
2,markthegrea
2,emrekyv
1,Utah_Dave
2,theolagendijk
1,Ashley Mills
8,Vahid.m
4,zvrba
2,Matthew Steeples
9,Mark B
2,shmia
1,dopiaza
12,ChadK
0,jthespartan
0,Sean Thompson
1,user462872
1,Winner Manurung
0,dmitri926
0,Denis Fuenzalida
0,Michael Mazur
0,J cheung
1,Ray Balogh
6,killown
2,olegb
4,Hukmchand
4,dyp
1,freytag
7,Timofey Gorshkov
0,Vijay Prasath
5,mmontalbo
2,user315881
1,user344811
0,chanda
3,cikabole
13,Almar
2,kenswdev
2,jpitt42
3,Pawel Szulc
15,Tuinstoelen
1,Jamie Bicknell
1,byanity
0,Dogmatixed
0,David Kobia
0,stevorino
6,aceinthehole
2,Joshdan
0,user10059
19,Kamil Kisiel
7,Thomas Padron-McCarthy
2,sebastien
3,Jussi Jokinen
1,Kojichan
0,Androidgeek
0,Pavan Kumar O V S
1,Anas856
4,sebduggan
7,Kent Kruckeberg
2,Steve Henderson
0,Lord_Dizzie
1,scream3r
0,alberto garcia
0,ErwinM
1,Ken Toole
1,AaronHS
0,Elvang
0,Corey Schuman
0,jotobjects
15,ui_90jax
-3,prince bhardwaj
1,gorca
0,randomPythonHacker
1,farka
1,jniQ
3,Martin North
0,angad
2,Kashif Q.
1,patorjk
2,mespinozas
0,uri brecher
5,mony
0,yoshco
1,ullas
0,baobab12
2,Thach
7,matkk
5,Helge Klein
3,Andrew Kuklewicz
2,delor
2,Mostafa Elmoghazi
2,juanagui
1,krowe
0,Leon Starr
3,Eric Grange
164,Detariael
0,Jozzeh
1,Jim Rubenstein
3,Jaimal Chohan
3,Sébastien
3,user12658
4,Craig S
4,vicsz
8,Collin Klopfenstein
4,Chris Clark
2,PeterB
4,Tarun Bhatia
5,ncoder83
2,MeeDNite
0,Mike Versteeg
1,loopmasta
1,Peter Crickman
1,user448365
1,Victor RENÉ
0,Abikin
3,w4h
0,BarthQuay
2,capnhairdo
13,Gerald Keider
2,Peter V. Mørch
3,Altealice
2,Kristoffer Schroeder
1,NielsB
-2,3D.
42,aviko oloo
1,Raj73
2,holtavolt
3,ppoliani
0,Hameltime
22,oneeyejack
1,RoyalKnight
37,romanb
2,organicveggie
4,Malcolm Featonby
4,William OConnor - csevb10
4,Lance Roberts
4,Tom Carr
7,MySQL DBA
5,Blake Chambers
135,zeevb
464,jshree
0,matto
3,Jon Kiddy
1,Xavier Bourvellec
3,Steve Parsons
45,Krishnasamy
1,theAlexPoon
0,Arek van Schayk
8,netcoder
0,shh
5,user369936
8,zfedsa
10,stefanwehr
1,user433351
2,atiyar
6,Dylan Musch
17,Anony
0,Nick Loadholtes
17,user293666
3,Simone Margaritelli
1,EugeneS
4,Aur
2,Dave Challis
1,Jezza69
1,Irwan
0,Crisy
14,Mark F Guerra
0,TsimoX
9,Larsenal
0,SonnyNoBucks
8,Scott Mayfield
7,Ruben
2,F.D.Castel
10,user62564
1,Turbo Sikh
0,Tribes78
0,user6464170
7,Saraz
3,jonstuebe
5,emberv3
1,josjim
9,j08lue
0,TBurk83
21,svirk
2,Victor S
1,chris fernley
2,Calebe
1,Andy Grove
2,user446503
51,Jan Philip Matuschek
0,nanoquetz9l
1,Prerana Kalley
1,Hemant yadav
1,PLinhol
0,ThomB
1,Scelerat
3,Sebastian Vantreri
0,Sasikiran
0,nuphero
8,BigBlueHat
0,tomm174
6,Giuliano Vilela
1,LostInSpace
3,RonBlackCultist
5,fifigyuri
0,Bedabrata Goswami
8,Jeremie Pelletier
1,dvhh
2,Jonas Granvik
1,Anees
1,Chris Ellingsworth
0,dampkwab
0,gary proudfoot
5,Patrick Peralta
1,Fox
1,Matthew Lai
3,Xiaowei
2,akiro
4,Watusimoto
1,user9419
12,Trevor Bramble
4,hyperboreean
4,dbrobins
6,z3a
0,Imme22009
0,user1884367
0,FunkTheMonk
7,user514989
1,user540159
3,TK.Maxi
3,elGEoRgE TheKiLLa
0,user1812715
1,Dave Eisen
2,Sergey Berezovskiy
1,JAnton
1,Bart Stewart
96,filler
2,denim98
1,Kavinda Gayashan
1,Streeter
0,user388587
1,Ben Karas
3,Scofield
0,user421410
1,phaxian
1,user327661
0,jayr parro
0,Jonas Montonen
1,mattbtay
0,user353305
7,Stacy Berg
2,cyberdantes
2,Martijn Faassen
0,Wili Whitelaw
2,siri
4,Holden Robbins
2,ashika
5,user174603
1,exus
216,nadiv
-1,martin doherty
1,Mehul Bhuva
1,etang
2,Feckmore
29,silverburgh
1,iamsult
7,Khurram Shakir
2,rcook8601
7,srmark
6,bibac
6,Scott Davies
2,Gertjan
2,user169186
8,Sci-fi
2,Plaudit Design
0,Colin Godsey
3,Ivo Wolff
0,pawan pathak
32,Vitor Silva
1,Desty
0,zybotix
1,mjay
30,Bubnoff
2,Barn Rubber
1,deba
1,Anees Ahamed
0,Ayusman
2,Ivan Vernot
0,Smokin Joe
0,pdwalker
0,kcssm
3,Luis Domingues
1,AndrewWithey
7,Flimm
3,SciFi
4,Bolster
8,shxfee
2,Anin Teger
1,Kevin Ross
0,user182602
1,Vedran
0,fedmich
2,Hillwalker
2,ASG
11,crono
3,Dave Arkell
2,Sean Campbell
1,Morphio
7,kchoose2
2,GeorgeM
2,user541072
0,KotoroShinoto
0,Rukon Khan
